"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 29 05:00:36 UTC 2023","Thu Jun 29 05:00:41 UTC 2023","4436","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Thu Jun 29 04:33:21 UTC 2023","Thu Jun 29 04:33:52 UTC 2023","30752","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Thu Jun 29 05:12:07 UTC 2023","Thu Jun 29 05:12:19 UTC 2023","12676","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Thu Jun 29 04:34:36 UTC 2023","Thu Jun 29 04:34:55 UTC 2023","18872","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Thu Jun 29 05:01:59 UTC 2023","Thu Jun 29 05:02:02 UTC 2023","2981","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Jun 29 04:33:04 UTC 2023","Thu Jun 29 04:33:21 UTC 2023","17232","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"skipped","Thu Jun 29 04:33:52 UTC 2023","Thu Jun 29 04:33:52 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Thu Jun 29 04:51:00 UTC 2023","Thu Jun 29 04:51:18 UTC 2023","18600","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Thu Jun 29 04:23:26 UTC 2023","Thu Jun 29 04:23:30 UTC 2023","4135","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Thu Jun 29 04:56:35 UTC 2023","Thu Jun 29 04:56:40 UTC 2023","4175","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Thu Jun 29 04:41:20 UTC 2023","Thu Jun 29 04:41:49 UTC 2023","28441","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
